INFO 2019-06-12 18:34:04,838 autoreload 576 Watching for file changes with StatReloader
INFO 2019-06-12 18:34:25,586 autoreload 203 /home/pyvip/code/mysite/mysite/settings.py changed, reloading.
INFO 2019-06-12 18:34:26,663 autoreload 576 Watching for file changes with StatReloader
INFO 2019-06-12 18:35:18,700 autoreload 203 /home/pyvip/code/mysite/mysite/settings.py changed, reloading.
INFO 2019-06-16 19:14:16,953 autoreload 576 Watching for file changes with StatReloader
INFO 2019-06-16 19:14:35,343 autoreload 576 Watching for file changes with StatReloader
INFO 2019-06-16 19:31:02,149 autoreload 203 /usr/local/lib/python3.6/dist-packages/pymysql/optionfile.py changed, reloading.
INFO 2019-06-16 19:31:04,092 autoreload 576 Watching for file changes with StatReloader
INFO 2019-06-16 19:31:18,597 autoreload 576 Watching for file changes with StatReloader
INFO 2019-06-16 19:33:01,822 autoreload 576 Watching for file changes with StatReloader
INFO 2019-06-16 19:33:25,713 autoreload 576 Watching for file changes with StatReloader
INFO 2019-06-16 19:34:35,885 autoreload 203 /usr/local/lib/python3.6/dist-packages/django/core/checks/messages.py changed, reloading.
INFO 2019-06-16 22:04:17,351 basehttp 154 "GET / HTTP/1.1" 200 18057
INFO 2019-06-16 22:04:17,415 basehttp 154 "GET /static/css/base/reset.css HTTP/1.1" 200 1427
INFO 2019-06-16 22:04:17,431 basehttp 154 "GET /static/css/base/side.css HTTP/1.1" 200 4429
INFO 2019-06-16 22:04:17,445 basehttp 154 "GET /static/js/index.js HTTP/1.1" 200 1510
INFO 2019-06-16 22:04:17,452 basehttp 154 "GET /static/css/base/common.css HTTP/1.1" 200 3498
INFO 2019-06-16 22:04:17,454 basehttp 154 "GET /static/css/news/index.css HTTP/1.1" 200 5500
INFO 2019-06-16 22:04:17,550 basehttp 154 "GET /static/js/commons.js HTTP/1.1" 200 2421
INFO 2019-06-16 22:04:17,562 basehttp 154 "GET /static/images/zimeiti.png HTTP/1.1" 200 112767
INFO 2019-06-16 22:04:17,587 basehttp 154 "GET /static/images/ui.png HTTP/1.1" 200 108619
INFO 2019-06-16 22:04:17,616 basehttp 154 "GET /static/images/python_gui.jpg HTTP/1.1" 200 24129
INFO 2019-06-16 22:04:17,622 basehttp 154 "GET /static/images/dianshang.png HTTP/1.1" 200 342554
INFO 2019-06-16 22:04:17,642 basehttp 154 "GET /static/images/youxi.png HTTP/1.1" 200 447834
INFO 2019-06-16 22:04:17,682 basehttp 154 "GET /static/images/jichujiaochen.jpeg HTTP/1.1" 200 11286
